2020-06-22 18:36:03 DEBUG [main] [base] line: 98 - Create new Frame
2020-06-22 18:36:04 DEBUG [AWT-EventQueue-0] [base] line: 27 - Connection to databases is established
2020-06-22 18:36:04 DEBUG [AWT-EventQueue-0] [base] line: 93 - Updating booking table
2020-06-22 18:36:04 DEBUG [AWT-EventQueue-0] [base] line: 93 - Updating booking table
2020-06-22 18:36:04 DEBUG [AWT-EventQueue-0] [base] line: 93 - Updating booking table
2020-06-22 18:36:04 DEBUG [AWT-EventQueue-0] [base] line: 93 - Updating booking table
2020-06-22 18:36:04 DEBUG [AWT-EventQueue-0] [base] line: 93 - Updating booking table
2020-06-22 18:36:04 DEBUG [AWT-EventQueue-0] [base] line: 93 - Updating booking table
2020-06-22 18:36:04 DEBUG [AWT-EventQueue-0] [base] line: 93 - Updating booking table
2020-06-22 18:36:04 DEBUG [AWT-EventQueue-0] [base] line: 93 - Updating booking table
2020-06-22 18:36:04 DEBUG [AWT-EventQueue-0] [base] line: 93 - Updating booking table
2020-06-22 18:36:04 DEBUG [AWT-EventQueue-0] [base] line: 93 - Updating booking table
2020-06-22 18:36:04 DEBUG [AWT-EventQueue-0] [base] line: 73 - Updating flights table
2020-06-22 18:36:04 DEBUG [AWT-EventQueue-0] [base] line: 74 - Updating flight_id table
2020-06-22 18:36:04 DEBUG [AWT-EventQueue-0] [base] line: 73 - Updating flights table
2020-06-22 18:36:04 DEBUG [AWT-EventQueue-0] [base] line: 74 - Updating flight_id table
2020-06-22 18:36:04 DEBUG [AWT-EventQueue-0] [base] line: 73 - Updating flights table
2020-06-22 18:36:04 DEBUG [AWT-EventQueue-0] [base] line: 74 - Updating flight_id table
2020-06-22 18:36:04 DEBUG [AWT-EventQueue-0] [base] line: 73 - Updating flights table
2020-06-22 18:36:04 DEBUG [AWT-EventQueue-0] [base] line: 74 - Updating flight_id table
2020-06-22 18:36:04 DEBUG [AWT-EventQueue-0] [base] line: 73 - Updating flights table
2020-06-22 18:36:04 DEBUG [AWT-EventQueue-0] [base] line: 74 - Updating flight_id table
2020-06-22 18:36:04 DEBUG [AWT-EventQueue-0] [base] line: 73 - Updating flights table
2020-06-22 18:36:04 DEBUG [AWT-EventQueue-0] [base] line: 74 - Updating flight_id table
2020-06-22 18:36:04 DEBUG [AWT-EventQueue-0] [base] line: 54 - Updating dates table
2020-06-22 18:36:04 DEBUG [AWT-EventQueue-0] [base] line: 54 - Updating dates table
2020-06-22 18:36:04 DEBUG [AWT-EventQueue-0] [base] line: 54 - Updating dates table
2020-06-22 18:36:04 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:36:17 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:36:17 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:36:17 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:36:18 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:36:18 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:36:19 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:36:19 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:36:19 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:36:19 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:36:21 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:36:22 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:36:31 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:36:31 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:36:31 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:36:31 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:36:31 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:36:31 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:36:32 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:36:32 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:36:33 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:36:33 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:36:33 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:36:33 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:36:33 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:36:33 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:36:33 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:36:33 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:36:33 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:36:35 DEBUG [AWT-EventQueue-0] [base] line: 54 - Updating dates table
2020-06-22 18:36:35 DEBUG [AWT-EventQueue-0] [base] line: 54 - Updating dates table
2020-06-22 18:36:35 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:36:36 DEBUG [AWT-EventQueue-0] [base] line: 120 - Button BookIt enabled
2020-06-22 18:36:36 DEBUG [AWT-EventQueue-0] [base] line: 120 - Button BookIt enabled
2020-06-22 18:36:37 DEBUG [AWT-EventQueue-0] [base] line: 54 - Updating dates table
2020-06-22 18:36:37 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:36:37 DEBUG [AWT-EventQueue-0] [base] line: 120 - Button BookIt enabled
2020-06-22 18:36:38 DEBUG [AWT-EventQueue-0] [base] line: 54 - Updating dates table
2020-06-22 18:36:38 DEBUG [AWT-EventQueue-0] [base] line: 54 - Updating dates table
2020-06-22 18:36:38 DEBUG [AWT-EventQueue-0] [base] line: 54 - Updating dates table
2020-06-22 18:36:38 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:36:38 DEBUG [AWT-EventQueue-0] [base] line: 120 - Button BookIt enabled
2020-06-22 18:37:10 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:37:15 DEBUG [AWT-EventQueue-0] [base] line: 120 - Button BookIt enabled
2020-06-22 18:37:15 DEBUG [AWT-EventQueue-0] [base] line: 120 - Button BookIt enabled
2020-06-22 18:37:16 DEBUG [AWT-EventQueue-0] [base] line: 120 - Button BookIt enabled
2020-06-22 18:37:16 DEBUG [AWT-EventQueue-0] [base] line: 120 - Button BookIt enabled
2020-06-22 18:37:17  INFO [AWT-EventQueue-0] [base] line: 191 - Booked ticket on Piotr  Data for Tokyo - New York flight  at 14-05-2021  5:25 - 13:40 date 
2020-06-22 18:37:40 DEBUG [AWT-EventQueue-0] [base] line: 133 - Login to admin window success
2020-06-22 18:37:40 DEBUG [AWT-EventQueue-0] [base] line: 27 - Connection to databases is established
2020-06-22 18:37:40 DEBUG [AWT-EventQueue-0] [base] line: 93 - Updating booking table
2020-06-22 18:37:40 DEBUG [AWT-EventQueue-0] [base] line: 93 - Updating booking table
2020-06-22 18:37:40 DEBUG [AWT-EventQueue-0] [base] line: 93 - Updating booking table
2020-06-22 18:37:40 DEBUG [AWT-EventQueue-0] [base] line: 93 - Updating booking table
2020-06-22 18:37:40 DEBUG [AWT-EventQueue-0] [base] line: 93 - Updating booking table
2020-06-22 18:37:40 DEBUG [AWT-EventQueue-0] [base] line: 93 - Updating booking table
2020-06-22 18:37:40 DEBUG [AWT-EventQueue-0] [base] line: 93 - Updating booking table
2020-06-22 18:37:40 DEBUG [AWT-EventQueue-0] [base] line: 93 - Updating booking table
2020-06-22 18:37:40 DEBUG [AWT-EventQueue-0] [base] line: 93 - Updating booking table
2020-06-22 18:37:40 DEBUG [AWT-EventQueue-0] [base] line: 93 - Updating booking table
2020-06-22 18:37:40 DEBUG [AWT-EventQueue-0] [base] line: 93 - Updating booking table
2020-06-22 18:37:40 DEBUG [AWT-EventQueue-0] [base] line: 73 - Updating flights table
2020-06-22 18:37:40 DEBUG [AWT-EventQueue-0] [base] line: 74 - Updating flight_id table
2020-06-22 18:37:40 DEBUG [AWT-EventQueue-0] [base] line: 73 - Updating flights table
2020-06-22 18:37:40 DEBUG [AWT-EventQueue-0] [base] line: 74 - Updating flight_id table
2020-06-22 18:37:40 DEBUG [AWT-EventQueue-0] [base] line: 73 - Updating flights table
2020-06-22 18:37:40 DEBUG [AWT-EventQueue-0] [base] line: 74 - Updating flight_id table
2020-06-22 18:37:40 DEBUG [AWT-EventQueue-0] [base] line: 73 - Updating flights table
2020-06-22 18:37:40 DEBUG [AWT-EventQueue-0] [base] line: 74 - Updating flight_id table
2020-06-22 18:37:40 DEBUG [AWT-EventQueue-0] [base] line: 73 - Updating flights table
2020-06-22 18:37:40 DEBUG [AWT-EventQueue-0] [base] line: 74 - Updating flight_id table
2020-06-22 18:37:40 DEBUG [AWT-EventQueue-0] [base] line: 73 - Updating flights table
2020-06-22 18:37:40 DEBUG [AWT-EventQueue-0] [base] line: 74 - Updating flight_id table
2020-06-22 18:37:40 DEBUG [AWT-EventQueue-0] [base] line: 54 - Updating dates table
2020-06-22 18:37:40 DEBUG [AWT-EventQueue-0] [base] line: 54 - Updating dates table
2020-06-22 18:37:40 DEBUG [AWT-EventQueue-0] [base] line: 54 - Updating dates table
2020-06-22 18:37:46 DEBUG [AWT-EventQueue-0] [base] line: 54 - Updating dates table
2020-06-22 18:37:46 DEBUG [AWT-EventQueue-0] [base] line: 54 - Updating dates table
2020-06-22 18:37:46 DEBUG [AWT-EventQueue-0] [base] line: 117 - Button BookIt disabled
2020-06-22 18:37:50 DEBUG [AWT-EventQueue-0] [base] line: 54 - Updating dates table
